location,date,vehicles
Von der Heydt,2016-01-06T23:00Z,519
Von der Heydt,2016-01-07,207
Von der Heydt,2016-01-07T01:00Z,95
Von der Heydt,2016-01-06T05:00Z,224
Von der Heydt,2016-01-06T06:00Z,708
Von der Heydt,2016-01-06T07:00Z,1471
Von der Heydt,2016-01-07T02:00Z,66
Von der Heydt,2016-01-07T03:00Z,54
Von der Heydt,2016-01-07T04:00Z,58
Von der Heydt,2016-01-07T05:00Z,226
Von der Heydt,2016-01-07T06:00Z,714
Von der Heydt,2016-01-07T10:00Z,1048
Von der Heydt,2016-01-07T11:00Z,917
Von der Heydt,2016-01-07T12:00Z,1029
Von der Heydt,2016-01-07T13:00Z,1218
Von der Heydt,2016-01-07T14:00Z,1323
Von der Heydt,2016-01-07T15:00Z,1492
Von der Heydt,2016-01-07T16:00Z,1573
Von der Heydt,2016-01-07T17:00Z,1792
Von der Heydt,2016-01-07T18:00Z,1554
Von der Heydt,2016-01-07T19:00Z,1359
Von der Heydt,2016-01-07T20:00Z,931
Von der Heydt,2016-01-07T21:00Z,660
Von der Heydt,2016-01-07T22:00Z,526
Von der Heydt,2016-01-07T23:00Z,480
Von der Heydt,2016-01-08,187
Von der Heydt,2016-01-08T01:00Z,102
Von der Heydt,2016-01-08T02:00Z,62
Von der Heydt,2016-01-08T03:00Z,71
Von der Heydt,2016-01-07T09:00Z,1321
Von der Heydt,2016-01-07T08:00Z,1704
Von der Heydt,2016-01-08T04:00Z,80
Von der Heydt,2016-01-08T05:00Z,217
Von der Heydt,2016-01-08T06:00Z,684
Von der Heydt,2016-01-08T07:00Z,1384
Von der Heydt,2016-01-08T08:00Z,1680
Von der Heydt,2016-01-08T09:00Z,1379
Von der Heydt,2016-01-08T10:00Z,1058
Von der Heydt,2016-01-08T11:00Z,1049
Von der Heydt,2016-01-08T12:00Z,1040
Von der Heydt,2016-01-08T13:00Z,1352
Von der Heydt,2016-01-08T14:00Z,1601
Von der Heydt,2016-01-08T15:00Z,1719
Von der Heydt,2016-01-08T16:00Z,1735
Von der Heydt,2016-01-08T17:00Z,1675
Von der Heydt,2016-01-08T18:00Z,1578
Von der Heydt,2016-01-08T19:00Z,1378
Von der Heydt,2016-01-08T20:00Z,1090
Von der Heydt,2016-01-08T21:00Z,785
Von der Heydt,2016-01-08T22:00Z,624
Von der Heydt,2016-01-09,360
Von der Heydt,2016-01-08T23:00Z,645
Von der Heydt,2016-01-09T01:00Z,263
Von der Heydt,2016-01-09T02:00Z,159
Von der Heydt,2016-01-09T03:00Z,107
Von der Heydt,2016-01-09T04:00Z,88
Von der Heydt,2016-01-09T05:00Z,159
Von der Heydt,2016-01-09T07:00Z,332
Von der Heydt,2016-01-09T06:00Z,263
Von der Heydt,2016-01-09T08:00Z,368
Von der Heydt,2016-01-09T11:00Z,869
Von der Heydt,2016-01-09T12:00Z,981
Von der Heydt,2016-01-09T13:00Z,1085
Von der Heydt,2016-01-09T14:00Z,1146
Von der Heydt,2016-01-09T15:00Z,1145
Von der Heydt,2016-01-09T16:00Z,1090
Von der Heydt,2016-01-09T17:00Z,1113
Von der Heydt,2016-01-09T18:00Z,1097
Von der Heydt,2016-01-07T07:00Z,1429
Von der Heydt,2016-01-09T19:00Z,1099
Von der Heydt,2016-01-09T20:00Z,834
Von der Heydt,2016-01-09T22:00Z,427
Von der Heydt,2016-01-09T21:00Z,627
Von der Heydt,2016-01-09T10:00Z,676
Von der Heydt,2016-01-09T09:00Z,508
Von der Heydt,2016-01-09T23:00Z,440
Kirschheck,2016-01-04,170
Kirschheck,2016-01-04T01:00Z,102
Kirschheck,2016-01-04T02:00Z,47
Kirschheck,2016-01-04T03:00Z,44
Kirschheck,2016-01-04T04:00Z,63
Kirschheck,2016-01-04T05:00Z,206
Kirschheck,2016-01-04T06:00Z,662
Kirschheck,2016-01-04T07:00Z,1426
Kirschheck,2016-01-04T08:00Z,1757
Kirschheck,2016-01-04T09:00Z,1297
Kirschheck,2016-01-04T10:00Z,967
Kirschheck,2016-01-04T11:00Z,917
Kirschheck,2016-01-04T12:00Z,887
Kirschheck,2016-01-04T13:00Z,1075
Kirschheck,2016-01-04T14:00Z,1162
Kirschheck,2016-01-04T15:00Z,1312
Kirschheck,2016-01-04T16:00Z,1458
Kirschheck,2016-01-04T17:00Z,1753
Kirschheck,2016-01-04T18:00Z,1546
Kirschheck,2016-01-04T19:00Z,1128
Kirschheck,2016-01-04T20:00Z,724
Kirschheck,2016-01-04T21:00Z,602
Kirschheck,2016-01-04T22:00Z,458
Kirschheck,2016-01-04T23:00Z,402
Kirschheck,2016-01-05,176
Kirschheck,2016-01-05T01:00Z,77
Kirschheck,2016-01-05T02:00Z,41
Kirschheck,2016-01-05T03:00Z,36
Kirschheck,2016-01-05T04:00Z,57
Kirschheck,2016-01-05T05:00Z,186
Kirschheck,2016-01-05T06:00Z,644
Kirschheck,2016-01-05T07:00Z,1470
Kirschheck,2016-01-05T08:00Z,1762
Kirschheck,2016-01-05T09:00Z,1358
Kirschheck,2016-01-05T10:00Z,1031
Kirschheck,2016-01-05T11:00Z,944
Kirschheck,2016-01-05T12:00Z,915
Kirschheck,2016-01-05T13:00Z,1093
Kirschheck,2016-01-05T14:00Z,1217
Kirschheck,2016-01-05T15:00Z,1288
Kirschheck,2016-01-05T16:00Z,1627
Kirschheck,2016-01-05T17:00Z,1837
Kirschheck,2016-01-05T18:00Z,1651
Kirschheck,2016-01-05T19:00Z,1244
Kirschheck,2016-01-05T20:00Z,852
Kirschheck,2016-01-05T21:00Z,675
Kirschheck,2016-01-05T22:00Z,518
Kirschheck,2016-01-05T23:00Z,448
Kirschheck,2016-01-06,161
Kirschheck,2016-01-06T01:00Z,94
Kirschheck,2016-01-06T02:00Z,52
Kirschheck,2016-01-06T03:00Z,52
Kirschheck,2016-01-06T04:00Z,62
Kirschheck,2016-01-06T05:00Z,199
Kirschheck,2016-01-06T06:00Z,660
Kirschheck,2016-01-06T07:00Z,1456
Kirschheck,2016-01-06T08:00Z,1740
Kirschheck,2016-01-06T09:00Z,1345
Kirschheck,2016-01-06T10:00Z,1031
Kirschheck,2016-01-06T11:00Z,958
Kirschheck,2016-01-06T12:00Z,962
Kirschheck,2016-01-06T13:00Z,1157
Kirschheck,2016-01-06T14:00Z,1276
Kirschheck,2016-01-06T15:00Z,1466
Kirschheck,2016-01-06T16:00Z,1563
Kirschheck,2016-01-06T17:00Z,1854
Kirschheck,2016-01-06T18:00Z,1638
Kirschheck,2016-01-06T19:00Z,1289
Kirschheck,2016-01-06T20:00Z,855
Kirschheck,2016-01-06T21:00Z,679
Kirschheck,2016-01-06T22:00Z,538
Kirschheck,2016-01-06T23:00Z,453
Kirschheck,2016-01-07,170
Kirschheck,2016-01-07T01:00Z,111
Kirschheck,2016-01-07T02:00Z,69
Kirschheck,2016-01-07T03:00Z,47
Kirschheck,2016-01-07T04:00Z,67
Kirschheck,2016-01-07T05:00Z,206
Kirschheck,2016-01-07T06:00Z,664
Kirschheck,2016-01-07T07:00Z,1470
Kirschheck,2016-01-07T08:00Z,1820
Kirschheck,2016-01-07T09:00Z,1366
Kirschheck,2016-01-07T10:00Z,1048
Kirschheck,2016-01-07T11:00Z,938
Kirschheck,2016-01-07T12:00Z,961
Kirschheck,2016-01-07T13:00Z,1192
Kirschheck,2016-01-07T14:00Z,1276
Kirschheck,2016-01-07T15:00Z,1484
Kirschheck,2016-01-07T16:00Z,1670
Kirschheck,2016-01-07T17:00Z,1894
Kirschheck,2016-01-07T18:00Z,1649
Kirschheck,2016-01-07T19:00Z,1306
Kirschheck,2016-01-07T20:00Z,861
Kirschheck,2016-01-07T21:00Z,716
Kirschheck,2016-01-07T22:00Z,537
Kirschheck,2016-01-08T01:00Z,92
Kirschheck,2016-01-07T23:00Z,478
Kirschheck,2016-01-08T02:00Z,72
Kirschheck,2016-01-08T03:00Z,55
Kirschheck,2016-01-08T04:00Z,72
Kirschheck,2016-01-08T05:00Z,194
Kirschheck,2016-01-08T06:00Z,615
Kirschheck,2016-01-08,216
Kirschheck,2016-01-08T09:00Z,1322
Kirschheck,2016-01-08T08:00Z,1209
Kirschheck,2016-01-08T10:00Z,1062
Kirschheck,2016-01-08T11:00Z,1053
Kirschheck,2016-01-08T12:00Z,1080
Kirschheck,2016-01-08T13:00Z,1357
Kirschheck,2016-01-08T07:00Z,1394
Kirschheck,2016-01-08T16:00Z,1784
Kirschheck,2016-01-08T15:00Z,1688
Kirschheck,2016-01-08T18:00Z,1537
Kirschheck,2016-01-08T17:00Z,1697
Kirschheck,2016-01-08T20:00Z,1026
Kirschheck,2016-01-08T19:00Z,1375
Kirschheck,2016-01-08T21:00Z,805
Kirschheck,2016-01-08T14:00Z,1534
Kirschheck,2016-01-08T22:00Z,609
Kirschheck,2016-01-09T01:00Z,297
Kirschheck,2016-01-09,423
Kirschheck,2016-01-09T02:00Z,199
Kirschheck,2016-01-09T03:00Z,125
Kirschheck,2016-01-09T04:00Z,133
Kirschheck,2016-01-09T05:00Z,181
Kirschheck,2016-01-09T06:00Z,321
Kirschheck,2016-01-08T23:00Z,638
Kirschheck,2016-01-09T09:00Z,455
Kirschheck,2016-01-09T10:00Z,915
Kirschheck,2016-01-09T11:00Z,1038
Kirschheck,2016-01-09T12:00Z,1128
Kirschheck,2016-01-09T13:00Z,1294
Kirschheck,2016-01-09T14:00Z,1388
Kirschheck,2016-01-09T15:00Z,1460
Kirschheck,2016-01-09T16:00Z,1295
Kirschheck,2016-01-09T17:00Z,1232
Kirschheck,2016-01-09T18:00Z,1311
Kirschheck,2016-01-09T19:00Z,1302
Kirschheck,2016-01-09T20:00Z,795
Kirschheck,2016-01-09T08:00Z,449
Kirschheck,2016-01-09T22:00Z,515
Kirschheck,2016-01-09T23:00Z,616
Kirschheck,2016-01-09T21:00Z,725
Kirschheck,2016-01-09T07:00Z,326
Saarbrücken-Neuhaus,2016-01-04,94
Saarbrücken-Neuhaus,2016-01-04T01:00Z,45
Saarbrücken-Neuhaus,2016-01-04T05:00Z,138
Saarbrücken-Neuhaus,2016-01-04T03:00Z,26
Saarbrücken-Neuhaus,2016-01-04T06:00Z,408
Saarbrücken-Neuhaus,2016-01-04T07:00Z,909
Saarbrücken-Neuhaus,2016-01-04T08:00Z,1142
Saarbrücken-Neuhaus,2016-01-04T09:00Z,699
Saarbrücken-Neuhaus,2016-01-04T10:00Z,524
Saarbrücken-Neuhaus,2016-01-04T02:00Z,31
Saarbrücken-Neuhaus,2016-01-04T12:00Z,489
Saarbrücken-Neuhaus,2016-01-04T13:00Z,603
Saarbrücken-Neuhaus,2016-01-04T14:00Z,679
Saarbrücken-Neuhaus,2016-01-04T16:00Z,806
Saarbrücken-Neuhaus,2016-01-04T15:00Z,799
Saarbrücken-Neuhaus,2016-01-04T17:00Z,1025
Saarbrücken-Neuhaus,2016-01-04T04:00Z,30
Saarbrücken-Neuhaus,2016-01-04T19:00Z,558
Saarbrücken-Neuhaus,2016-01-04T20:00Z,364
Saarbrücken-Neuhaus,2016-01-04T21:00Z,259
Saarbrücken-Neuhaus,2016-01-04T22:00Z,227
Saarbrücken-Neuhaus,2016-01-04T18:00Z,857
Saarbrücken-Neuhaus,2016-01-04T11:00Z,477
Saarbrücken-Neuhaus,2016-01-04T23:00Z,111
Saarbrücken-Neuhaus,2016-01-05,77
Saarbrücken-Neuhaus,2016-01-05T01:00Z,35
Saarbrücken-Neuhaus,2016-01-05T02:00Z,44
Saarbrücken-Neuhaus,2016-01-05T03:00Z,40
Saarbrücken-Neuhaus,2016-01-05T04:00Z,45
Saarbrücken-Neuhaus,2016-01-05T05:00Z,122
Saarbrücken-Neuhaus,2016-01-05T06:00Z,423
Saarbrücken-Neuhaus,2016-01-05T07:00Z,933
Saarbrücken-Neuhaus,2016-01-05T08:00Z,1157
Saarbrücken-Neuhaus,2016-01-05T09:00Z,771
Saarbrücken-Neuhaus,2016-01-05T10:00Z,581
Saarbrücken-Neuhaus,2016-01-05T11:00Z,516
Saarbrücken-Neuhaus,2016-01-05T12:00Z,498
Saarbrücken-Neuhaus,2016-01-05T13:00Z,548
Saarbrücken-Neuhaus,2016-01-05T14:00Z,656
Saarbrücken-Neuhaus,2016-01-05T15:00Z,856
Saarbrücken-Neuhaus,2016-01-05T16:00Z,838
Saarbrücken-Neuhaus,2016-01-05T17:00Z,1008
Saarbrücken-Neuhaus,2016-01-05T18:00Z,875
Saarbrücken-Neuhaus,2016-01-05T19:00Z,466
Saarbrücken-Neuhaus,2016-01-05T20:00Z,376
Saarbrücken-Neuhaus,2016-01-05T21:00Z,267
Saarbrücken-Neuhaus,2016-01-05T22:00Z,241
Saarbrücken-Neuhaus,2016-01-05T23:00Z,125
Saarbrücken-Neuhaus,2016-01-06,77
Saarbrücken-Neuhaus,2016-01-06T01:00Z,43
Saarbrücken-Neuhaus,2016-01-06T02:00Z,47
Saarbrücken-Neuhaus,2016-01-06T03:00Z,32
Saarbrücken-Neuhaus,2016-01-06T04:00Z,41
Saarbrücken-Neuhaus,2016-01-06T05:00Z,127
Saarbrücken-Neuhaus,2016-01-06T07:00Z,983
Saarbrücken-Neuhaus,2016-01-06T09:00Z,730
Saarbrücken-Neuhaus,2016-01-06T10:00Z,592
Saarbrücken-Neuhaus,2016-01-06T11:00Z,545
Saarbrücken-Neuhaus,2016-01-06T12:00Z,538
Saarbrücken-Neuhaus,2016-01-06T13:00Z,649
Saarbrücken-Neuhaus,2016-01-06T14:00Z,679
Saarbrücken-Neuhaus,2016-01-06T08:00Z,1185
Saarbrücken-Neuhaus,2016-01-06T17:00Z,982
Saarbrücken-Neuhaus,2016-01-06T16:00Z,890
Saarbrücken-Neuhaus,2016-01-06T18:00Z,929
Saarbrücken-Neuhaus,2016-01-06T19:00Z,569
Saarbrücken-Neuhaus,2016-01-06T21:00Z,305
Saarbrücken-Neuhaus,2016-01-06T20:00Z,384
Saarbrücken-Neuhaus,2016-01-06T22:00Z,258
Saarbrücken-Neuhaus,2016-01-07,120
Saarbrücken-Neuhaus,2016-01-07T01:00Z,45
Saarbrücken-Neuhaus,2016-01-06T23:00Z,260
Saarbrücken-Neuhaus,2016-01-07T02:00Z,33
Saarbrücken-Neuhaus,2016-01-06T15:00Z,894
Saarbrücken-Neuhaus,2016-01-06T06:00Z,405
Saarbrücken-Neuhaus,2016-01-07T03:00Z,25
Saarbrücken-Neuhaus,2016-01-07T04:00Z,40
Saarbrücken-Neuhaus,2016-01-07T05:00Z,120
Saarbrücken-Neuhaus,2016-01-07T06:00Z,418
Saarbrücken-Neuhaus,2016-01-07T07:00Z,894
Saarbrücken-Neuhaus,2016-01-07T08:00Z,1171
Saarbrücken-Neuhaus,2016-01-07T09:00Z,794
Saarbrücken-Neuhaus,2016-01-07T10:00Z,569
Saarbrücken-Neuhaus,2016-01-07T11:00Z,454
Saarbrücken-Neuhaus,2016-01-07T12:00Z,518
Saarbrücken-Neuhaus,2016-01-07T13:00Z,622
Saarbrücken-Neuhaus,2016-01-07T14:00Z,647
Saarbrücken-Neuhaus,2016-01-07T15:00Z,782
Saarbrücken-Neuhaus,2016-01-07T16:00Z,850
Saarbrücken-Neuhaus,2016-01-07T17:00Z,889
Saarbrücken-Neuhaus,2016-01-07T18:00Z,781
Saarbrücken-Neuhaus,2016-01-07T19:00Z,520
Saarbrücken-Neuhaus,2016-01-07T20:00Z,392
Saarbrücken-Neuhaus,2016-01-07T21:00Z,320
Saarbrücken-Neuhaus,2016-01-07T22:00Z,261
Saarbrücken-Neuhaus,2016-01-07T23:00Z,228
Saarbrücken-Neuhaus,2016-01-08,106
Saarbrücken-Neuhaus,2016-01-08T01:00Z,39
Saarbrücken-Neuhaus,2016-01-08T02:00Z,42
Saarbrücken-Neuhaus,2016-01-08T03:00Z,37
Saarbrücken-Neuhaus,2016-01-08T04:00Z,49
Saarbrücken-Neuhaus,2016-01-08T05:00Z,113
Saarbrücken-Neuhaus,2016-01-08T06:00Z,411
Saarbrücken-Neuhaus,2016-01-08T07:00Z,908
Saarbrücken-Neuhaus,2016-01-08T08:00Z,1116
Saarbrücken-Neuhaus,2016-01-08T09:00Z,743
Saarbrücken-Neuhaus,2016-01-08T10:00Z,546
Saarbrücken-Neuhaus,2016-01-08T11:00Z,523
Saarbrücken-Neuhaus,2016-01-08T12:00Z,502
Saarbrücken-Neuhaus,2016-01-08T13:00Z,694
Saarbrücken-Neuhaus,2016-01-08T14:00Z,832
Saarbrücken-Neuhaus,2016-01-08T15:00Z,944
Saarbrücken-Neuhaus,2016-01-08T16:00Z,976
Saarbrücken-Neuhaus,2016-01-08T17:00Z,932
Saarbrücken-Neuhaus,2016-01-08T18:00Z,845
Saarbrücken-Neuhaus,2016-01-08T19:00Z,607
Saarbrücken-Neuhaus,2016-01-08T20:00Z,470
Saarbrücken-Neuhaus,2016-01-08T21:00Z,390
Saarbrücken-Neuhaus,2016-01-08T22:00Z,310
Saarbrücken-Neuhaus,2016-01-08T23:00Z,306
Saarbrücken-Neuhaus,2016-01-09,175
Saarbrücken-Neuhaus,2016-01-09T01:00Z,127
Saarbrücken-Neuhaus,2016-01-09T02:00Z,82
Saarbrücken-Neuhaus,2016-01-09T03:00Z,45
Saarbrücken-Neuhaus,2016-01-09T04:00Z,48
Saarbrücken-Neuhaus,2016-01-09T05:00Z,74
Saarbrücken-Neuhaus,2016-01-09T06:00Z,134
Saarbrücken-Neuhaus,2016-01-09T07:00Z,191
Saarbrücken-Neuhaus,2016-01-09T08:00Z,207
Saarbrücken-Neuhaus,2016-01-09T09:00Z,253
Saarbrücken-Neuhaus,2016-01-09T10:00Z,350
Saarbrücken-Neuhaus,2016-01-09T11:00Z,423
Saarbrücken-Neuhaus,2016-01-09T13:00Z,577
Saarbrücken-Neuhaus,2016-01-09T14:00Z,588
Saarbrücken-Neuhaus,2016-01-09T15:00Z,564
Saarbrücken-Neuhaus,2016-01-09T16:00Z,536
Saarbrücken-Neuhaus,2016-01-09T17:00Z,559
Saarbrücken-Neuhaus,2016-01-09T18:00Z,475
Saarbrücken-Neuhaus,2016-01-09T19:00Z,518
Saarbrücken-Neuhaus,2016-01-09T20:00Z,337
Saarbrücken-Neuhaus,2016-01-09T21:00Z,258
Saarbrücken-Neuhaus,2016-01-09T22:00Z,187
Saarbrücken-Neuhaus,2016-01-09T23:00Z,193
Saarbrücken-Neuhaus,2016-01-09T12:00Z,510
Riegelsberg,2016-01-04,137
Riegelsberg,2016-01-04T01:00Z,70
Riegelsberg,2016-01-04T02:00Z,54
Riegelsberg,2016-01-04T03:00Z,45
Riegelsberg,2016-01-04T04:00Z,55
Riegelsberg,2016-01-04T05:00Z,366
Riegelsberg,2016-01-04T06:00Z,609
Riegelsberg,2016-01-04T07:00Z,1459
Riegelsberg,2016-01-04T08:00Z,1908
Riegelsberg,2016-01-04T10:00Z,849
Riegelsberg,2016-01-04T11:00Z,745
Riegelsberg,2016-01-04T12:00Z,753
Riegelsberg,2016-01-04T13:00Z,892
Riegelsberg,2016-01-04T14:00Z,1018
Riegelsberg,2016-01-04T15:00Z,1190
Riegelsberg,2016-01-04T09:00Z,1067
Riegelsberg,2016-01-04T17:00Z,1482
Riegelsberg,2016-01-04T18:00Z,1401
Riegelsberg,2016-01-04T19:00Z,726
Riegelsberg,2016-01-04T20:00Z,601
Riegelsberg,2016-01-04T21:00Z,468
Riegelsberg,2016-01-04T16:00Z,1304
Riegelsberg,2016-01-04T22:00Z,326
Riegelsberg,2016-01-04T23:00Z,334
Riegelsberg,2016-01-05,117
Riegelsberg,2016-01-05T02:00Z,60
Riegelsberg,2016-01-05T01:00Z,58
Riegelsberg,2016-01-05T03:00Z,50
Riegelsberg,2016-01-05T04:00Z,54
Riegelsberg,2016-01-05T05:00Z,180
Riegelsberg,2016-01-05T06:00Z,672
Riegelsberg,2016-01-05T10:00Z,881
Riegelsberg,2016-01-05T11:00Z,749
Riegelsberg,2016-01-05T12:00Z,753
Riegelsberg,2016-01-05T13:00Z,995
Riegelsberg,2016-01-05T09:00Z,1219
Riegelsberg,2016-01-05T07:00Z,1329
Riegelsberg,2016-01-05T15:00Z,1251
Riegelsberg,2016-01-05T16:00Z,1374
Riegelsberg,2016-01-05T18:00Z,1411
Riegelsberg,2016-01-05T08:00Z,1852
Riegelsberg,2016-01-05T19:00Z,812
Riegelsberg,2016-01-05T17:00Z,1533
Riegelsberg,2016-01-05T20:00Z,614
Riegelsberg,2016-01-05T14:00Z,968
Riegelsberg,2016-01-06,134
Riegelsberg,2016-01-06T01:00Z,67
Riegelsberg,2016-01-06T02:00Z,66
Riegelsberg,2016-01-06T03:00Z,50
Riegelsberg,2016-01-06T04:00Z,60
Riegelsberg,2016-01-06T05:00Z,351
Riegelsberg,2016-01-05T21:00Z,499
Riegelsberg,2016-01-05T22:00Z,357
Riegelsberg,2016-01-05T23:00Z,383
Riegelsberg,2016-01-06T09:00Z,1120
Riegelsberg,2016-01-06T08:00Z,1902
Riegelsberg,2016-01-06T11:00Z,778
Riegelsberg,2016-01-06T10:00Z,891
Riegelsberg,2016-01-06T12:00Z,785
Riegelsberg,2016-01-06T13:00Z,1006
Riegelsberg,2016-01-06T06:00Z,652
Riegelsberg,2016-01-06T07:00Z,1312
Riegelsberg,2016-01-06T16:00Z,1438
Riegelsberg,2016-01-06T17:00Z,1659
Riegelsberg,2016-01-06T18:00Z,1512
Riegelsberg,2016-01-06T19:00Z,958
Riegelsberg,2016-01-06T20:00Z,625
Riegelsberg,2016-01-06T21:00Z,503
Riegelsberg,2016-01-06T14:00Z,1057
Riegelsberg,2016-01-06T15:00Z,1358
Riegelsberg,2016-01-07,179
Riegelsberg,2016-01-07T01:00Z,65
Riegelsberg,2016-01-07T03:00Z,48
Riegelsberg,2016-01-07T02:00Z,62
Riegelsberg,2016-01-07T04:00Z,52
Riegelsberg,2016-01-07T05:00Z,186
Riegelsberg,2016-01-06T22:00Z,385
Riegelsberg,2016-01-07T08:00Z,1872
Riegelsberg,2016-01-07T07:00Z,1263
Riegelsberg,2016-01-07T09:00Z,1203
Riegelsberg,2016-01-07T10:00Z,886
Riegelsberg,2016-01-07T11:00Z,736
Riegelsberg,2016-01-07T12:00Z,770
Riegelsberg,2016-01-07T06:00Z,664
Riegelsberg,2016-01-07T15:00Z,1341
Riegelsberg,2016-01-06T23:00Z,225
Riegelsberg,2016-01-07T14:00Z,1003
Riegelsberg,2016-01-07T16:00Z,1354
Riegelsberg,2016-01-07T17:00Z,1650
Riegelsberg,2016-01-07T18:00Z,1369
Riegelsberg,2016-01-07T19:00Z,924
Riegelsberg,2016-01-07T13:00Z,989
Riegelsberg,2016-01-07T20:00Z,658
Riegelsberg,2016-01-07T21:00Z,520
Riegelsberg,2016-01-07T22:00Z,399
Riegelsberg,2016-01-07T23:00Z,235
Riegelsberg,2016-01-08,150
Riegelsberg,2016-01-08T01:00Z,64
Riegelsberg,2016-01-08T02:00Z,63
Riegelsberg,2016-01-08T03:00Z,59
Riegelsberg,2016-01-08T04:00Z,62
Riegelsberg,2016-01-08T08:00Z,1738
Riegelsberg,2016-01-08T07:00Z,1240
Riegelsberg,2016-01-08T10:00Z,845
Riegelsberg,2016-01-08T11:00Z,806
Riegelsberg,2016-01-08T12:00Z,822
Riegelsberg,2016-01-08T09:00Z,1148
Riegelsberg,2016-01-08T05:00Z,182
Riegelsberg,2016-01-08T15:00Z,1506
Riegelsberg,2016-01-08T14:00Z,1246
Riegelsberg,2016-01-08T16:00Z,1525
Riegelsberg,2016-01-08T17:00Z,1394
Riegelsberg,2016-01-08T18:00Z,1286
Riegelsberg,2016-01-08T19:00Z,1129
Riegelsberg,2016-01-08T20:00Z,807
Riegelsberg,2016-01-08T13:00Z,1255
Riegelsberg,2016-01-08T23:00Z,471
Riegelsberg,2016-01-08T22:00Z,443
Riegelsberg,2016-01-09,260
Riegelsberg,2016-01-09T01:00Z,143
Riegelsberg,2016-01-09T02:00Z,129
Riegelsberg,2016-01-09T03:00Z,70
Riegelsberg,2016-01-09T04:00Z,77
Riegelsberg,2016-01-08T06:00Z,631
Riegelsberg,2016-01-09T06:00Z,251
Riegelsberg,2016-01-09T07:00Z,295
Riegelsberg,2016-01-09T08:00Z,325
Riegelsberg,2016-01-09T10:00Z,583
Riegelsberg,2016-01-09T11:00Z,676
Riegelsberg,2016-01-09T09:00Z,412
Riegelsberg,2016-01-09T05:00Z,155
Riegelsberg,2016-01-09T13:00Z,857
Riegelsberg,2016-01-09T14:00Z,931
Riegelsberg,2016-01-09T16:00Z,850
Riegelsberg,2016-01-09T15:00Z,957
Riegelsberg,2016-01-09T17:00Z,860
