origin,destination,count
ASE,DEN,3992
ASE,GJT,1
ASE,LAX,334
ASE,MSN,1
ASE,ORD,332
ASE,PHX,109
ASE,RFD,1
ASE,SFO,62
ASE,SLC,459
ATL,ABE,852
ATL,ABQ,1064
ATL,ABY,1095
ATL,ACY,113
ATL,AEX,982
ATL,AGS,2381
ATL,ALB,1153
ATL,ANC,115
ATL,ASE,16
ATL,ATW,742
ATL,AUS,2255
ATL,AVL,1936
ATL,AVP,584
ATL,BDL,2140
ATL,BGR,270
ATL,BHM,2871
ATL,BMI,2509
ATL,BNA,3096
ATL,BOI,41
ATL,BOS,5990
ATL,BQK,924
ATL,BTR,2665
ATL,BTV,500
ATL,BUF,3578
ATL,BWI,5978
ATL,BZN,60
ATL,CAE,2494
ATL,CAK,3902
ATL,CHA,2082
ATL,CHO,786
ATL,CHS,4492
ATL,CID,357
ATL,CLE,2865
ATL,CLT,6720
ATL,CMH,1796
ATL,COS,589
ATL,CRP,5
ATL,CRW,1430
ATL,CSG,1481
ATL,CVG,2810
ATL,DAB,2413
ATL,DAY,4372
ATL,DCA,7289
ATL,DEN,5726
ATL,DFW,9847
ATL,DHN,1397
ATL,DSM,1114
ATL,DTW,5612
ATL,EGE,110
ATL,ELP,575
ATL,EVV,1150
ATL,EWN,791
ATL,EWR,8028
ATL,EYW,974
ATL,FAY,2173
ATL,FCA,25
ATL,FLL,7665
ATL,FLO,614
ATL,FNT,3132
ATL,FSD,135
ATL,FSM,632
ATL,FWA,1028
ATL,GNV,2064
ATL,GPT,3441
ATL,GRB,93
ATL,GRK,642
ATL,GRR,1352
ATL,GSO,2866
ATL,GSP,2450
ATL,GTR,964
ATL,GUC,2
ATL,HDN,107
ATL,HHH,836
ATL,HNL,637
ATL,HOU,3593
ATL,HPN,2155
ATL,HSV,2627
ATL,IAD,5309
ATL,IAH,5268
ATL,ICT,3146
ATL,ILM,1996
ATL,IND,3517
ATL,ISP,214
ATL,JAC,118
ATL,JAN,2694
ATL,JAX,5656
ATL,JFK,1915
ATL,LAS,4766
ATL,LAW,544
ATL,LAX,5406
ATL,LEX,2213
ATL,LFT,995
ATL,LGA,10506
ATL,LIT,2527
ATL,LWB,185
ATL,LYH,625
ATL,MCI,4140
ATL,MCN,652
ATL,MCO,9613
ATL,MDT,1789
ATL,MDW,3256
ATL,MEI,674
ATL,MEM,4866
ATL,MFE,9
ATL,MGM,2513
ATL,MHT,695
ATL,MIA,6628
ATL,MKE,3610
ATL,MLB,2000
ATL,MLI,2590
ATL,MLU,983
ATL,MOB,2224
ATL,MSN,384
ATL,MSP,5368
ATL,MSY,4695
ATL,MTJ,37
ATL,MYR,1853
ATL,OAJ,1178
ATL,OAK,90
ATL,OKC,1883
ATL,OMA,1730
ATL,ONT,796
ATL,ORD,7677
ATL,ORF,2784
ATL,PBI,4263
ATL,PDX,1095
ATL,PFN,2548
ATL,PHF,4158
ATL,PHL,6915
ATL,PHX,4603
ATL,PIA,622
ATL,PIT,4555
ATL,PNS,4429
ATL,PVD,1389
ATL,PWM,904
ATL,RDU,5411
ATL,RIC,4532
ATL,RNO,167
ATL,ROA,1732
ATL,ROC,2489
ATL,RSW,4193
ATL,SAN,2857
ATL,SAT,3239
ATL,SAV,3892
ATL,SBN,1038
ATL,SCE,121
ATL,SDF,2754
ATL,SEA,2574
ATL,SFO,3462
ATL,SGF,1171
ATL,SHV,1816
ATL,SJC,640
ATL,SJU,1874
ATL,SLC,2860
ATL,SMF,682
ATL,SNA,1461
ATL,SRQ,3326
ATL,STL,3958
ATL,STT,451
ATL,STX,67
ATL,SWF,1617
ATL,SYR,1419
ATL,TLH,2484
ATL,TOL,119
ATL,TPA,7311
ATL,TRI,1809
ATL,TUL,1981
ATL,TUP,9
ATL,TUS,668
ATL,TYS,2428
ATL,VLD,938
ATL,VPS,3046
ATL,XNA,1769
ATW,ATL,743
ATW,CHS,1
ATW,CVG,697
ATW,DSM,1
ATW,DTW,1020
ATW,MKE,1032
ATW,MSP,90
ATW,ORD,2288
ATW,XNA,1
AUS,ABQ,435
AUS,ATL,2252
AUS,BNA,792
AUS,BOS,368
AUS,BWI,730
AUS,CLE,380
AUS,CLT,659
AUS,CVG,653
AUS,DAL,5573
AUS,DEN,2673
AUS,DFW,5506
AUS,DSM,1
AUS,DTW,1
AUS,ELP,1349
AUS,EWR,949
AUS,FLL,481
AUS,HOU,2319
AUS,HRL,367
AUS,IAD,670
AUS,IAH,3691
AUS,IND,218
AUS,JAX,226
AUS,JFK,1358
AUS,LAS,1231
AUS,LAX,1733
AUS,LBB,692
AUS,LGB,245
AUS,MAF,470
AUS,MCI,459
AUS,MCO,632
AUS,MDW,712
AUS,MEM,834
AUS,MSP,55
AUS,MSY,444
AUS,OAK,236
AUS,OKC,88
AUS,ONT,305
AUS,ORD,2514
AUS,ORF,1
AUS,PHL,290
AUS,PHX,2783
AUS,RDU,231
AUS,SAN,719
AUS,SEA,149
AUS,SFO,610
AUS,SJC,968
AUS,SLC,548
AUS,SNA,245
AUS,STL,95
AUS,TPA,367
AUS,TUL,88
AUS,TUS,228
AVL,ATL,1936
AVL,CVG,167
AVL,DTW,768
AVL,EWR,658
AVL,IAH,459
AVL,MCO,47
AVL,MSP,364
AVP,ATL,586
AVP,CVG,356
AVP,DTW,722
AVP,HPN,1
AVP,JFK,2
AVP,LGA,3
AVP,ORD,716
AZO,CVG,148
AZO,DTW,1177
AZO,FAR,1
AZO,MSP,245
AZO,ORD,2352
AZO,XNA,1
BDL,ATL,2141
BDL,BNA,366
BDL,BWI,2880
BDL,CLE,544
BDL,CLT,1834
BDL,CVG,1187
BDL,DCA,1182
BDL,DEN,214
BDL,DFW,1065
BDL,DTW,1516
BDL,EWR,766
BDL,FLL,546
BDL,GRB,1
BDL,IAD,1397
BDL,IAH,120
BDL,IND,585
BDL,JFK,602
BDL,LAS,366
BDL,LAX,132
BDL,MCO,1755
BDL,MDW,1028
BDL,MEM,48
BDL,MIA,366
BDL,MKE,536
BDL,MSP,986
BDL,ORD,3131
BDL,PBI,373
BDL,PHL,521
BDL,PHX,335
BDL,RDU,1150
BDL,RSW,134
BDL,SJU,366
BDL,TPA,1276
BET,ANC,1035
BFL,DEN,533
BFL,FAT,1
BFL,LAS,102
BFL,LAX,906
BFL,PHX,1194
BFL,SAN,225
BFL,SFO,943
BFL,SLC,371
BFL,SMF,227
BGM,DTW,728
BGR,ATL,270
BGR,BOS,793
BGR,BTV,1
BGR,CVG,129
BGR,DTW,801
BGR,EWR,536
BGR,JFK,338
BGR,MSP,11
BHM,ATL,2876
BHM,AUS,1
BHM,BNA,696
BHM,BWI,1038
BHM,CLE,264
BHM,CLT,786
BHM,CVG,598
BHM,DAL,1074
BHM,DEN,666
BHM,DFW,1287
BHM,DTW,892
BHM,EWR,668
BHM,HOU,723
BHM,HSV,1
BHM,IAD,245
BHM,IAH,2345
BHM,JAX,366
BHM,JFK,1
BHM,LAS,366
BHM,LGA,840
BHM,MCO,1196
BHM,MDW,709
BHM,MEM,886
BHM,MKE,1
BHM,MSY,1008
BHM,ORD,1497
BHM,PHX,366
BHM,RDU,159
BHM,SDF,679
BHM,SLC,8
BHM,STL,366
BHM,TPA,1071
BIL,DEN,1628
BIL,GTF,1
BIL,MSP,820
BIL,ORD,103
BIL,PIH,3
BIL,SLC,1950
BIS,DEN,1239
BIS,MSP,1052
BIS,RAP,2
BJI,MSP,74
BLI,SLC,120
BMI,ATL,2511
BMI,DFW,60
BMI,LAS,50
BMI,MCO,173
BMI,ORD,2007
BNA,ATL,3097
BNA,AUS,795
BNA,BDL,365
BNA,BHM,688
BNA,BOS,78
BNA,BWI,2502
BNA,CID,1
BNA,CLE,1147
BNA,CLT,2127
BNA,CMH,677
BNA,COS,1
BNA,CVG,769
BNA,DCA,1403
BNA,DEN,2529
BNA,DFW,2859
BNA,DTW,2708
BNA,EWR,1836
BNA,FLL,738
BNA,FSD,2
BNA,HOU,1504
BNA,IAD,418
BNA,IAH,2522
BNA,JAX,1382
BNA,JFK,523
BNA,LAS,1202
BNA,LAX,1400
BNA,LGA,1216
BNA,MCI,1302
BNA,MCO,1798
BNA,MDW,2993
BNA,MEM,1020
BNA,MIA,731
BNA,MKE,772
BNA,MSP,785
BNA,MSY,1012
BNA,OAK,363
BNA,ONT,365
BNA,ORD,3725
BNA,ORF,236
BNA,PHL,980
BNA,PHX,1124
BNA,PVD,366
BNA,RDU,1623
BNA,SAN,721
BNA,SAT,677
BNA,SEA,364
BNA,SLC,115
BNA,STL,258
BNA,TPA,1720
BOI,ATL,41
BOI,ATW,1
BOI,DEN,2064
BOI,GEG,1042
BOI,GJT,1
BOI,LAS,756
BOI,LAX,1001
BOI,MSP,807
BOI,OAK,666
BOI,ONT,471
BOI,ORD,787
BOI,PDX,1027
BOI,PHX,679
BOI,PIT,1
BOI,RNO,1029
BOI,SAN,475
BOI,SEA,1080
BOI,SFO,1754
BOI,SLC,3342
BOS,ACK,1
BOS,ATL,5982
BOS,AUS,368
BOS,BGR,794
BOS,BNA,2
BOS,BTV,1
BOS,BUF,729
BOS,BWI,4797
BOS,CAK,467
BOS,CHS,156
BOS,CLE,1362
BOS,CLT,3533
BOS,CMH,916
BOS,CVG,1937
BOS,DCA,8899
BOS,DEN,2077
BOS,DFW,3036
BOS,DTW,2306
BOS,EWR,3883
BOS,FLL,2476
BOS,GGG,1
BOS,GSO,141
BOS,IAD,4184
BOS,IAH,1800
BOS,IND,950
BOS,JAX,647
BOS,JFK,7372
BOS,LAS,1383
BOS,LAX,2234
BOS,LGA,12029
BOS,LGB,788
BOS,MCO,3474
BOS,MDW,344
BOS,MEM,200
BOS,MIA,2196
BOS,MKE,209
BOS,MSP,1635
BOS,MSY,254
BOS,MYR,45
BOS,OAK,516
BOS,ORD,7085
BOS,ORF,243
BOS,PBI,1743
BOS,PDX,366
BOS,PHF,715
BOS,PHL,6375
BOS,PHX,1069
BOS,PIT,591
BOS,RDU,3777
BOS,RIC,689
BOS,RSW,1716
BOS,SAN,608
BOS,SAV,89
BOS,SDF,80
BOS,SEA,979
BOS,SFO,2668
BOS,SJC,256
BOS,SJU,1274
BOS,SLC,707
BOS,SRQ,23
BOS,STL,865
BOS,STT,88
BOS,TPA,1785
BPT,IAH,276
BQK,ATL,925
BQN,EWR,366
BQN,JFK,661
BQN,MCO,492
BRO,IAH,1464
BRW,ANC,364
BRW,FAI,364
BTM,SLC,708
BTR,ATL,2663
BTR,CVG,2
BTR,DCA,129
BTR,DEN,1
BTR,DFW,2922
BTR,IAH,2009
BTR,MEM,999
BTR,MSY,1
BTR,ORD,215
BTV,ATL,500
BTV,BWI,538
BTV,CLE,614
BTV,CVG,153
BTV,DTW,826
BTV,EWR,879
BTV,IAD,129
BTV,IND,1
BTV,JFK,2207
BTV,MCO,346
BTV,MSP,75
BTV,ORD,737
BUF,ATL,3575
BUF,BOS,728
BUF,BWI,2439
BUF,CLE,633
BUF,CLT,1435
BUF,CVG,160
BUF,DCA,312
BUF,DFW,93
BUF,DTW,1510
BUF,EWR,1469
BUF,FLL,672
BUF,IAD,16
BUF,JFK,3679
BUF,LAS,589
BUF,MCO,1876
BUF,MDW,1276
BUF,MSP,227
BUF,ORD,3437
BUF,PHL,685
BUF,PHX,365
BUF,RSW,376
BUF,TPA,729
BUR,DEN,944
BUR,DFW,1376
BUR,IAD,163
BUR,JFK,1366
BUR,LAS,5162
BUR,OAK,5423
BUR,PDX,60
BUR,PHX,4751
BUR,PMD,1
BUR,PSP,1
BUR,RNO,1
BUR,SEA,1390
BUR,SFO,2258
BUR,SJC,3377
BUR,SLC,1673
BUR,SMF,3458
BUR,TUS,1
BWI,ABQ,549
BWI,ALB,2296
BWI,ATL,5972
BWI,AUS,728
BWI,BDL,2863
BWI,BHM,1037
BWI,BNA,2492
BWI,BOS,4795
BWI,BTV,539
BWI,BUF,2437
BWI,CLE,2543
BWI,CLT,3652
BWI,CMH,1683
BWI,CVG,1228
BWI,DAB,32
BWI,DAY,982
BWI,DEN,2664
BWI,DFW,2311
BWI,DTW,3105
BWI,EWR,507
BWI,FLL,2710
BWI,GRR,1
BWI,HOU,1262
BWI,IAH,1728
BWI,IND,1016
BWI,ISP,2427
BWI,JAN,664
BWI,JAX,1058
BWI,JFK,1134
BWI,LAS,1626
BWI,LAX,898
BWI,LGA,7
BWI,LIT,366
BWI,MCI,1025
BWI,MCO,4926
BWI,MDW,2809
BWI,MEM,827
BWI,MHT,3633
BWI,MIA,929
BWI,MKE,1290
BWI,MSP,974
BWI,MSY,392
BWI,OKC,366
BWI,ORD,3545
BWI,ORF,1683
BWI,PBI,1351
BWI,PHL,692
BWI,PHX,2098
BWI,PIT,1064
BWI,PVD,3988
BWI,PWM,995
BWI,RDU,2082
BWI,ROC,863
BWI,RSW,1336
BWI,SAN,721
BWI,SAT,729
BWI,SAV,1
BWI,SDF,1474
BWI,SEA,242
BWI,SFO,366
BWI,SJU,319
BWI,SLC,727
BWI,SRQ,245
BWI,STL,1682
BWI,TPA,3388
BZN,ATL,60
BZN,BTM,1
BZN,DEN,1293
BZN,DTW,19
BZN,IDA,1
BZN,LAX,13
BZN,MSP,878
BZN,ORD,337
BZN,SFO,28
BZN,SLC,2029
CAE,ATL,2508
CAE,CVG,927
CAE,DFW,1157
CAE,DTW,713
CAE,EWR,684
CAE,IAD,1386
CAE,IAH,164
CAE,LGA,609
CAE,MEM,706
CAE,ORD,1696
CAK,ATL,3905
CAK,BOS,467
CAK,CVG,40
CAK,DEN,779
CAK,DTW,1044
CAK,FLL,8
CAK,LAS,42
CAK,LGA,793
CAK,MCO,371
CAK,ORD,1049
CAK,RSW,137
CAK,TPA,359
CDC,LAX,1
CDC,SGU,1
CDC,SLC,666
CDV,ANC,363
CDV,YAK,362
CEC,ACV,360
CEC,SFO,703
CHA,ATL,2086
CHA,CVG,132
CHA,DFW,426
CHA,DTW,72
CHA,IAH,459
CHA,MEM,630
CHA,ORD,766
CHO,ATL,786
CHO,CVG,36
CHO,DCA,1
CHS,ATL,4494
CHS,BOS,156
CHS,CLE,150
CHS,CLT,1121
CHS,CVG,786
CHS,DFW,1155
CHS,DTW,756
CHS,EWR,1284
CHS,IAD,712
CHS,IAH,73
CHS,JAX,2
CHS,LGA,1413
CHS,MEM,714
CHS,MSP,27
CHS,ORD,1337
CHS,SAV,1
CIC,FAT,1
CIC,MRY,1
CIC,SFO,1390
CID,ATL,357
CID,CVG,874
CID,DEN,798
CID,DFW,1897
CID,DSM,1
CID,DTW,946
CID,LGA,156
CID,MKE,1
CID,MSP,416
CID,ORD,3931
CLD,LAX,2259
CLD,PHX,44
CLE,ABE,805
CLE,ABQ,12
CLE,ALB,1106
CLE,ATL,3115
CLE,AUS,380
CLE,BDL,516
CLE,BHM,264
CLE,BNA,1128
CLE,BOS,1354
CLE,BTV,613
CLE,BUF,620
CLE,BWI,2562
CLE,CHS,150
CLE,CLT,1981
CLE,CMH,17
CLE,CVG,493
CLE,DAB,12
CLE,DAY,869
CLE,DCA,934
CLE,DEN,976
CLE,DFW,1656
CLE,DSM,139
CLE,DTW,1359
CLE,EWR,2105
CLE,FLL,618
CLE,GRR,1136
CLE,GSO,148
CLE,GSP,510
CLE,IAD,1433
CLE,IAH,2151
CLE,IND,142
CLE,JAX,143
CLE,JFK,1392
CLE,LAS,1656
CLE,LAX,1050
CLE,LEX,15
CLE,LGA,2936
CLE,MCI,1230
CLE,MCO,1915
CLE,MDT,58
CLE,MDW,2561
CLE,MEM,1211
CLE,MHT,1235
CLE,MIA,399
CLE,MKE,2226
CLE,MSN,317
CLE,MSP,1693
CLE,MSY,54
CLE,OKC,32
CLE,OMA,430
CLE,ORD,4569
CLE,ORF,2
CLE,PBI,383
CLE,PHL,674
CLE,PHX,1110
CLE,PVD,360
CLE,PWM,306
CLE,RDU,319
CLE,RIC,905
CLE,ROC,928
CLE,RSW,595
CLE,SAN,85
CLE,SAT,232
CLE,SAV,321
CLE,SDF,679
CLE,SEA,231
CLE,SFO,466
CLE,SJU,43
CLE,SLC,346
CLE,SRQ,118
CLE,STL,1191
CLE,SYR,696
CLE,TPA,874
CLE,TUL,10
CLE,TYS,495
CLL,DFW,1105
CLL,IAH,262
CLT,ABE,465
CLT,AGS,17
CLT,ALB,978
CLT,ATL,6722
CLT,ATW,1
CLT,AUS,660
CLT,BDL,1834
CLT,BHM,787
CLT,BNA,2126
CLT,BOS,3551
CLT,BUF,1434
CLT,BWI,3684
CLT,CHS,1122
CLT,CLE,1971
CLT,CMH,125
CLT,CVG,877
CLT,DAB,23
CLT,DCA,2988
CLT,DEN,1925
CLT,DFW,3796
CLT,DTW,2701
CLT,EGE,13
CLT,EWR,5953
CLT,FAY,95
CLT,FLL,3295
CLT,GRR,1
CLT,GSO,985
CLT,HSV,13
CLT,IAD,3126
CLT,IAH,3711
CLT,ILM,1257
CLT,IND,1230
CLT,JAX,2524
CLT,JFK,1866
CLT,LAS,1734
CLT,LAX,1458
CLT,LGA,5339
CLT,LIT,39
CLT,MCI,1183
CLT,MCO,3277
CLT,MDT,1144
CLT,MDW,13
CLT,MEM,2578
CLT,MHT,705
CLT,MIA,2970
CLT,MKE,243
CLT,MSP,1816
CLT,MSY,1466
CLT,MYR,2217
CLT,OAJ,6
CLT,ORD,5639
CLT,ORF,1543
CLT,PBI,1873
CLT,PDX,136
CLT,PHL,3525
CLT,PHX,2186
CLT,PIT,2349
CLT,PNS,371
CLT,PVD,1439
CLT,PWM,276
CLT,RDU,2340
CLT,RIC,1801
CLT,ROC,412
CLT,RSW,1765
CLT,SAN,704
CLT,SAT,661
CLT,SAV,1432
CLT,SDF,796
CLT,SEA,481
CLT,SFO,1427
CLT,SJU,796
CLT,SLC,212
CLT,SMF,76
CLT,SRQ,207
CLT,STL,1094
CLT,STT,418
CLT,STX,20
CLT,SYR,747
CLT,TLH,240
CLT,TPA,2811
CLT,TRI,16
CLT,TUS,208
CMH,ATL,1808
CMH,BNA,685
CMH,BOS,661
CMH,BWI,1681
CMH,CLE,24
CMH,CLT,125
CMH,CVG,1185
CMH,DCA,77
CMH,DEN,385
CMH,DFW,1694
CMH,DTW,1909
CMH,EWR,1646
CMH,GRB,1
CMH,GRR,1
CMH,IAH,841
CMH,ICT,1
CMH,JFK,515
CMH,LAS,1341
CMH,LAX,48
CMH,LGA,2355
CMH,MCI,164
CMH,MCO,1074
CMH,MDW,2643
CMH,MEM,1057
CMH,MIA,469
CMH,MKE,1054
CMH,MSP,1076
CMH,OMA,1
CMH,ORD,4959
CMH,PBI,5
CMH,PHL,996
CMH,PHX,1096
CMH,RDU,500
CMH,RSW,137
CMH,SLC,291
CMH,STL,679
CMH,SYR,1
CMH,TPA,972
CMI,ABI,1
CMI,DFW,366
CMI,ORD,2406
CMI,SPI,1
CMX,MSP,318
COD,DEN,481
COD,SLC,707
COS,ABQ,1
COS,ATL,591
COS,CLE,1
COS,CVG,104
COS,DEN,4193
COS,DFW,2036
COS,FAT,1
COS,IAH,1725
COS,LAN,1
COS,LAS,98
COS,LAX,997
COS,MCI,179
COS,MEM,117
COS,MKE,1
COS,MSP,450
COS,ONT,460
COS,ORD,1519
COS,PHX,1393
COS,SAN,472
COS,SFO,364
COS,SLC,1074
COS,SMF,424
CPR,DEN,1536
CPR,MSP,32
CPR,ORD,134
CPR,PIH,1
CPR,SLC,1006
CRP,ATL,6
CRP,DFW,2510
CRP,HOU,1933
CRP,IAH,821
CRW,ATL,1430
CRW,BNA,1
CRW,CVG,391
CRW,DTW,208
CRW,IAH,674
CRW,LEX,1
CRW,ORD,709
CSG,ATL,1481
CVG,ABE,248
CVG,ABQ,260
CVG,ALB,912
CVG,ANC,90
CVG,ATL,2758
CVG,ATW,697
CVG,AUS,653
CVG,AVL,167
CVG,AVP,357
CVG,AZO,149
CVG,BDL,1157
CVG,BGR,127
CVG,BHM,852
CVG,BNA,902
CVG,BOS,1859
CVG,BTR,2
CVG,BTV,152
CVG,BUF,160
CVG,BWI,1235
CVG,CAE,942
CVG,CAK,39
CVG,CHA,132
CVG,CHO,35
CVG,CHS,786
CVG,CID,873
CVG,CLE,493
CVG,CLT,926
CVG,CMH,795
CVG,COS,104
CVG,CRW,391
CVG,DAB,6
CVG,DAY,746
CVG,DCA,2015
CVG,DEN,1384
CVG,DFW,3244
CVG,DSM,983
CVG,DTW,3023
CVG,EGE,30
CVG,EVV,135
CVG,EWR,3094
CVG,FLL,683
CVG,FSD,555
CVG,GRB,447
CVG,GRR,1386
CVG,GSO,1057
CVG,GSP,456
CVG,HPN,126
CVG,HSV,800
CVG,HTS,159
CVG,IAD,783
CVG,IAH,2048
CVG,ILM,140
CVG,IND,491
CVG,JAC,13
CVG,JAN,120
CVG,JAX,1125
CVG,JFK,1532
CVG,LAN,485
CVG,LAS,921
CVG,LAX,1143
CVG,LEX,1525
CVG,LGA,3645
CVG,LIT,49
CVG,MCI,1491
CVG,MCO,1305
CVG,MDT,1007
CVG,MEM,1226
CVG,MHT,776
CVG,MIA,1045
CVG,MKE,839
CVG,MSN,259
CVG,MSP,1745
CVG,MSY,195
CVG,MYR,13
CVG,OKC,769
CVG,OMA,1003
CVG,ORD,6014
CVG,ORF,450
CVG,PBI,389
CVG,PDX,318
CVG,PFN,36
CVG,PHL,1671
CVG,PHX,468
CVG,PIT,1292
CVG,PVD,958
CVG,PWM,555
CVG,RDU,1087
CVG,RIC,786
CVG,ROA,1
CVG,ROC,730
CVG,RSW,539
CVG,SAN,571
CVG,SAT,882
CVG,SAV,732
CVG,SBN,12
CVG,SCE,23
CVG,SDF,635
CVG,SEA,790
CVG,SFO,777
CVG,SGF,245
CVG,SLC,1627
CVG,SNA,285
CVG,SRQ,444
CVG,STL,345
CVG,SYR,831
CVG,TOL,20
CVG,TPA,1099
CVG,TRI,247
CVG,TUL,882
CVG,TVC,129
CVG,TYS,916
CVG,VPS,103
CVG,XNA,101
CWA,DTW,549
CWA,MKE,285
CWA,MLI,1
CWA,MSP,13
CWA,ORD,1715
DAB,ATL,2412
DAB,BWI,32
DAB,CLE,12
DAB,CLT,23
DAB,CVG,6
DAB,EWR,311
DAB,JAX,1
DAB,LGA,159
DAB,MCO,1
DAL,ABQ,3106
DAL,AMA,2665
DAL,AUS,5583
DAL,BHM,1051
DAL,ELP,2282
DAL,HOU,9790
DAL,HRL,33
DAL,IAH,3730
DAL,LBB,2680
DAL,LIT,2330
DAL,MAF,1997
DAL,MCI,3922
DAL,MSY,2096
DAL,OKC,1686
DAL,ORD,1005
DAL,SAT,4973
DAL,STL,2722
DAL,TUL,2277
DAY,ATL,4369
DAY,BWI,980
DAY,CLE,862
DAY,CVG,755
DAY,DEN,838
DAY,DFW,1037
DAY,DTW,1322
DAY,EWR,948
DAY,IAD,53
DAY,IAH,864
DAY,LAS,43
DAY,MCO,416
DAY,MKE,609
DAY,MSP,692
DAY,ORD,1799
DAY,TPA,204
DBQ,ORD,1349
DCA,ALB,304
DCA,ATL,7296
DCA,BDL,1183
DCA,BNA,1401
DCA,BOS,8929
DCA,BTR,129
DCA,BUF,632
DCA,CLE,935
DCA,CLT,3001
DCA,CMH,77
DCA,CVG,1841
DCA,DEN,1429
DCA,DFW,3965
DCA,DSM,272
DCA,DTW,2982
DCA,EWR,2289
DCA,FLL,1361
DCA,GRR,307
DCA,HSV,561
DCA,IAH,2919
DCA,IND,968
DCA,JAN,304
DCA,JAX,888
DCA,JFK,3017
DCA,LAS,365
DCA,LAX,366
DCA,LEX,311
DCA,LGA,11102
DCA,MCO,1845
DCA,MEM,1043
DCA,MHT,306
DCA,MIA,2987
DCA,MKE,122
DCA,MSN,287
DCA,MSP,2199
DCA,MSY,408
DCA,ORD,7427
DCA,PBI,909
DCA,PHL,5
DCA,PHX,1081
DCA,PIT,322
DCA,PLN,1
DCA,PVD,671
DCA,RDU,2732
DCA,RSW,706
DCA,SEA,727
DCA,SLC,365
DCA,SRQ,12
DCA,STL,1296
DCA,SYR,313
DCA,TPA,1554
DCA,XNA,210
DEN,ABQ,4309
DEN,AMA,731
DEN,ANC,451
DEN,ASE,3979
DEN,ATL,5903
DEN,AUS,2719
DEN,BDL,213
DEN,BFL,533
DEN,BHM,651
DEN,BIL,1631
DEN,BIS,1240
DEN,BNA,2556
DEN,BOI,2069
DEN,BOS,2234
DEN,BTR,1
DEN,BUR,1238
DEN,BWI,2655
DEN,BZN,1286
DEN,CAK,780
DEN,CID,572
DEN,CLE,969
DEN,CLT,1925
DEN,CMH,685
DEN,COD,481
DEN,COS,4188
DEN,CPR,1533
DEN,CRW,1
DEN,CVG,1384
DEN,CYS,1
DEN,DAY,850
DEN,DCA,1428
DEN,DFW,8268
DEN,DRO,2473
DEN,DSM,1404
DEN,DTW,2913
DEN,EGE,1673
DEN,ELP,1060
DEN,EUG,726
DEN,EWR,2189
DEN,FAR,1246
DEN,FAT,1266
DEN,FCA,668
DEN,FLL,908
DEN,FSD,1474
DEN,GCC,695
DEN,GEG,1440
DEN,GJT,2469
DEN,GRB,2
DEN,GRR,343
DEN,GTF,868
DEN,GUC,832
DEN,HDN,1310
