series,count,rate,date
32242,276,4.3,2004-12-01
32242,294,4.8,2004-11-01
32242,300,4.8,2004-10-01
32242,301,4.9,2004-09-01
32242,341,5.6,2004-08-01
32242,346,5.6,2004-07-01
32242,326,5.4,2004-06-01
32242,310,5.1,2004-05-01
32242,347,5.6,2004-04-01
32242,366,5.9,2004-03-01
32242,366,5.9,2004-02-01
32242,322,5.3,2004-01-01
32242,278,4.5,2003-12-01
32242,357,5.8,2003-11-01
32242,378,6.1,2003-10-01
32242,338,5.5,2003-09-01
32242,373,6.1,2003-08-01
32242,405,6.6,2003-07-01
32242,359,5.9,2003-06-01
32242,339,5.7,2003-05-01
32242,331,5.5,2003-04-01
32242,370,6.1,2003-03-01
32242,331,5.7,2003-02-01
32242,304,5.3,2003-01-01
32242,241,4.2,2002-12-01
32242,284,4.9,2002-11-01
32242,272,4.6,2002-10-01
32242,281,4.8,2002-09-01
32242,353,6,2002-08-01
32242,356,5.8,2002-07-01
32242,335,5.5,2002-06-01
32242,264,4.6,2002-05-01
32242,268,4.6,2002-04-01
32242,314,5.5,2002-03-01
32242,339,5.6,2002-02-01
32242,304,5.1,2002-01-01
32242,277,4.5,2001-12-01
32242,256,4.2,2001-11-01
32242,239,4.1,2001-10-01
32242,225,4,2001-09-01
32242,241,4.5,2001-08-01
32242,228,4.1,2001-07-01
32242,246,4.6,2001-06-01
32242,172,3.2,2001-05-01
32242,220,3.8,2001-04-01
32242,200,3.4,2001-03-01
32242,243,4.2,2001-02-01
32242,197,3.4,2001-01-01
32242,167,2.9,2000-12-01
32242,217,3.8,2000-11-01
32242,161,2.9,2000-10-01
32242,220,4,2000-09-01
32242,187,3.5,2000-08-01
32242,202,3.7,2000-07-01
32242,225,3.9,2000-06-01
32242,254,4.5,2000-05-01
32242,240,4.2,2000-04-01
32242,247,4.3,2000-03-01
32242,232,4.1,2000-02-01
32242,274,4.9,2000-01-01
32241,1597,12.7,2010-02-01
32241,1804,14.2,2010-01-01
32241,1624,12.6,2009-12-01
32241,1524,11.9,2009-11-01
32241,1604,12.4,2009-10-01
32241,1469,11.4,2009-09-01
32241,1636,12,2009-08-01
32241,1600,11.2,2009-07-01
32241,1688,12.1,2009-06-01
32241,1599,11.9,2009-05-01
32241,1322,10.2,2009-04-01
32241,1484,11.6,2009-03-01
32241,1477,11.4,2009-02-01
32241,1487,11.5,2009-01-01
32241,1210,9.5,2008-12-01
32241,1283,9.9,2008-11-01
32241,1126,8.9,2008-10-01
32241,1029,8.2,2008-09-01
32241,1122,8.7,2008-08-01
32241,1172,8.8,2008-07-01
32241,1154,8.9,2008-06-01
32241,1074,8.4,2008-05-01
32241,874,6.9,2008-04-01
32241,944,7.6,2008-03-01
32241,1056,8.5,2008-02-01
32241,1176,9.4,2008-01-01
32241,961,7.9,2007-12-01
32241,986,8.1,2007-11-01
32241,911,7.5,2007-10-01
32241,892,7.4,2007-09-01
32241,877,7.1,2007-08-01
32241,920,7.3,2007-07-01
32241,917,7.2,2007-06-01
32241,831,6.8,2007-05-01
32241,822,6.9,2007-04-01
32241,845,7,2007-03-01
32241,879,7.4,2007-02-01
32241,911,7.8,2007-01-01
32241,701,5.9,2006-12-01
32241,836,7.1,2006-11-01
32241,795,6.6,2006-10-01
32241,810,6.9,2006-09-01
32241,855,6.9,2006-08-01
32241,867,6.8,2006-07-01
32241,942,7.4,2006-06-01
32241,830,7,2006-05-01
32241,882,7.6,2006-04-01
32241,917,8,2006-03-01
32241,1040,9.1,2006-02-01
32241,910,8.1,2006-01-01
32241,930,7.9,2005-12-01
32241,966,8.1,2005-11-01
32241,796,6.8,2005-10-01
32241,842,7.3,2005-09-01
32241,844,6.8,2005-08-01
32241,929,7.4,2005-07-01
32241,950,7.6,2005-06-01
32241,944,7.7,2005-05-01
32241,882,7.7,2005-04-01
32241,967,8.3,2005-03-01
32241,1008,8.8,2005-02-01
32241,993,8.7,2005-01-01
32241,850,7.4,2004-12-01
32241,916,7.9,2004-11-01
32241,853,7.3,2004-10-01
32241,854,7.5,2004-09-01
32241,1010,8.4,2004-08-01
32241,965,7.8,2004-07-01
32241,1189,9.6,2004-06-01
32241,977,8.1,2004-05-01
32241,925,7.9,2004-04-01
32241,1039,9,2004-03-01
32241,987,8.9,2004-02-01
32241,1097,10,2004-01-01
32241,885,8.2,2003-12-01
32241,990,9,2003-11-01
32241,933,8.3,2003-10-01
32241,978,8.8,2003-09-01
32241,1050,9,2003-08-01
32241,1020,8.4,2003-07-01
32241,1048,8.6,2003-06-01
32241,955,7.9,2003-05-01
32241,986,8.5,2003-04-01
32241,1035,8.9,2003-03-01
32241,1145,10,2003-02-01
32241,1049,9.3,2003-01-01
32241,922,8.2,2002-12-01
32241,978,8.9,2002-11-01
32241,956,8.5,2002-10-01
32241,885,7.9,2002-09-01
32241,884,7.5,2002-08-01
32241,999,8.2,2002-07-01
32241,1034,8.5,2002-06-01
32241,1022,8.6,2002-05-01
32241,953,8.4,2002-04-01
32241,976,8.5,2002-03-01
32241,973,8.7,2002-02-01
32241,947,8.6,2002-01-01
32241,938,8.5,2001-12-01
32241,935,8.5,2001-11-01
32241,903,8.3,2001-10-01
32241,900,8,2001-09-01
32241,767,6.8,2001-08-01
32241,813,6.8,2001-07-01
32241,821,7,2001-06-01
32241,731,6.7,2001-05-01
32241,744,6.8,2001-04-01
32241,817,7.4,2001-03-01
32241,821,7.5,2001-02-01
32241,806,7.7,2001-01-01
32241,639,5.9,2000-12-01
32241,694,6.5,2000-11-01
32241,691,6.5,2000-10-01
32241,636,5.9,2000-09-01
32241,675,6,2000-08-01
32241,786,6.8,2000-07-01
32241,833,7.3,2000-06-01
32241,675,6.2,2000-05-01
32241,658,6.1,2000-04-01
32241,789,7.4,2000-03-01
32241,779,7.5,2000-02-01
32241,782,7.5,2000-01-01
32240,1200,5.6,2010-02-01
32240,1175,5.5,2010-01-01
32240,1183,5.6,2009-12-01
32240,1168,5.5,2009-11-01
32240,1280,6,2009-10-01
32240,1257,6,2009-09-01
32240,1239,6,2009-08-01
32240,1269,6.1,2009-07-01
32240,1267,6.1,2009-06-01
32240,1005,4.9,2009-05-01
32240,964,4.6,2009-04-01
32240,931,4.5,2009-03-01
32240,847,4.1,2009-02-01
32240,792,3.8,2009-01-01
32240,791,3.8,2008-12-01
32240,748,3.6,2008-11-01
32240,797,3.9,2008-10-01
32240,835,4.1,2008-09-01
32240,844,4.3,2008-08-01
32240,776,3.9,2008-07-01
32240,669,3.4,2008-06-01
32240,619,3.2,2008-05-01
32240,551,2.8,2008-04-01
32240,609,3.1,2008-03-01
32240,562,2.9,2008-02-01
32240,576,2.9,2008-01-01
32240,521,2.6,2007-12-01
32240,526,2.7,2007-11-01
32240,534,2.7,2007-10-01
32240,630,3.2,2007-09-01
32240,648,3.4,2007-08-01
32240,665,3.5,2007-07-01
32240,653,3.4,2007-06-01
32240,622,3.3,2007-05-01
32240,555,2.9,2007-04-01
32240,495,2.5,2007-03-01
32240,489,2.5,2007-02-01
32240,563,2.9,2007-01-01
32240,502,2.6,2006-12-01
32240,536,2.8,2006-11-01
32240,531,2.8,2006-10-01
32240,576,3,2006-09-01
32240,611,3.2,2006-08-01
32240,659,3.5,2006-07-01
32240,617,3.3,2006-06-01
32240,543,2.9,2006-05-01
32240,558,3,2006-04-01
32240,563,3,2006-03-01
32240,528,2.8,2006-02-01
32240,593,3.2,2006-01-01
32240,529,2.8,2005-12-01
32240,677,3.6,2005-11-01
32240,628,3.4,2005-10-01
32240,658,3.5,2005-09-01
32240,644,3.5,2005-08-01
32240,635,3.5,2005-07-01
32240,667,3.6,2005-06-01
32240,648,3.6,2005-05-01
32240,591,3.3,2005-04-01
32240,614,3.4,2005-03-01
32240,619,3.4,2005-02-01
32240,613,3.4,2005-01-01
32240,562,3.1,2004-12-01
32240,570,3.2,2004-11-01
32240,526,2.9,2004-10-01
32240,593,3.3,2004-09-01
32240,647,3.7,2004-08-01
32240,725,4,2004-07-01
32240,769,4.2,2004-06-01
32240,570,3.2,2004-05-01
32240,589,3.3,2004-04-01
32240,584,3.2,2004-03-01
32240,608,3.4,2004-02-01
32240,662,3.7,2004-01-01
32240,620,3.5,2003-12-01
32240,662,3.8,2003-11-01
32240,639,3.6,2003-10-01
32240,649,3.7,2003-09-01
32240,760,4.3,2003-08-01
32240,697,4,2003-07-01
32240,769,4.4,2003-06-01
32240,618,3.5,2003-05-01
32240,611,3.4,2003-04-01
32240,518,2.9,2003-03-01
32240,576,3.2,2003-02-01
32240,559,3.2,2003-01-01
32240,558,3.2,2002-12-01
32240,493,2.8,2002-11-01
32240,517,3,2002-10-01
32240,562,3.2,2002-09-01
32240,660,3.9,2002-08-01
32240,671,4,2002-07-01
32240,638,3.9,2002-06-01
32240,533,3.2,2002-05-01
32240,493,2.9,2002-04-01
32240,540,3.2,2002-03-01
32240,590,3.5,2002-02-01
32240,586,3.5,2002-01-01
32240,483,2.9,2001-12-01
32240,516,3.1,2001-11-01
32240,486,2.9,2001-10-01
32240,455,2.8,2001-09-01
32240,595,3.7,2001-08-01
32240,513,3.1,2001-07-01
32240,476,3,2001-06-01
32240,390,2.4,2001-05-01
32240,341,2.1,2001-04-01
32240,456,2.8,2001-03-01
32240,423,2.6,2001-02-01
32240,428,2.6,2001-01-01
32240,293,1.8,2000-12-01
32240,351,2.2,2000-11-01
32240,339,2.1,2000-10-01
32240,398,2.6,2000-09-01
32240,450,2.9,2000-08-01
32240,478,3.1,2000-07-01
32240,452,2.9,2000-06-01
32240,423,2.7,2000-05-01
32240,329,2.1,2000-04-01
32240,381,2.5,2000-03-01
32240,349,2.2,2000-02-01
32240,353,2.3,2000-01-01
32239,1740,12,2010-02-01
32239,1614,11.1,2010-01-01
32239,1486,10.3,2009-12-01
32239,1514,10.6,2009-11-01
32239,1488,10.3,2009-10-01
32239,1596,11.3,2009-09-01
32239,1560,11,2009-08-01
32239,1531,10.9,2009-07-01
32239,1580,11.3,2009-06-01
32239,1514,10.9,2009-05-01
32239,1448,10.4,2009-04-01
32239,1597,11.4,2009-03-01
32239,1512,10.8,2009-02-01
32239,1445,10.4,2009-01-01
32239,1147,8.1,2008-12-01
32239,992,7,2008-11-01
32239,1052,7.5,2008-10-01
32239,951,6.9,2008-09-01
32239,961,6.9,2008-08-01
32239,866,6.1,2008-07-01
32239,890,6.2,2008-06-01
32239,829,5.9,2008-05-01
32239,736,5.3,2008-04-01
32239,876,6.2,2008-03-01
32239,866,6.2,2008-02-01
32239,893,6.4,2008-01-01
32239,803,5.7,2007-12-01
32239,679,4.8,2007-11-01
32239,675,4.8,2007-10-01
32239,655,4.7,2007-09-01
32239,683,4.9,2007-08-01
32239,743,5.2,2007-07-01
32239,722,5.2,2007-06-01
32239,743,5.4,2007-05-01
32239,689,5,2007-04-01
32239,775,5.7,2007-03-01
32239,825,6,2007-02-01
32239,885,6.5,2007-01-01
32239,791,5.9,2006-12-01
32239,658,4.9,2006-11-01
32239,768,5.6,2006-10-01
32239,736,5.6,2006-09-01
32239,681,5.1,2006-08-01
32239,735,5.5,2006-07-01
32239,753,5.7,2006-06-01
32239,695,5.3,2006-05-01
32239,644,4.9,2006-04-01
32239,824,6.3,2006-03-01
32239,841,6.5,2006-02-01
32239,825,6.5,2006-01-01
32239,788,6.1,2005-12-01
32239,711,5.5,2005-11-01
32239,748,5.8,2005-10-01
32239,862,6.7,2005-09-01
32239,728,5.7,2005-08-01
32239,804,6.3,2005-07-01
32239,743,5.8,2005-06-01
32239,730,5.9,2005-05-01
32239,714,5.7,2005-04-01
32239,807,6.5,2005-03-01
32239,916,7.2,2005-02-01
32239,958,7.6,2005-01-01
32239,875,6.9,2004-12-01
32239,872,6.8,2004-11-01
32239,781,6.2,2004-10-01
32239,750,5.9,2004-09-01
32239,845,6.7,2004-08-01
32239,790,6.2,2004-07-01
32239,814,6.5,2004-06-01
32239,819,6.5,2004-05-01
32239,752,6,2004-04-01
32239,999,7.9,2004-03-01
32239,964,7.7,2004-02-01
32239,1070,8.7,2004-01-01
32239,948,7.6,2003-12-01
32239,948,7.7,2003-11-01
32239,1014,8.1,2003-10-01
32239,975,8,2003-09-01
32239,881,7.2,2003-08-01
32239,1021,8.2,2003-07-01
32239,1092,8.5,2003-06-01
32239,1105,8.4,2003-05-01
32239,1076,8.3,2003-04-01
32239,1190,9.1,2003-03-01
32239,1140,8.9,2003-02-01
32239,1112,8.9,2003-01-01
32239,1038,8.3,2002-12-01
32239,1029,8.2,2002-11-01
32239,962,7.5,2002-10-01
32239,1007,7.8,2002-09-01
32239,926,7.2,2002-08-01
32239,1075,8.2,2002-07-01
32239,1079,8.2,2002-06-01
32239,983,7.7,2002-05-01
32239,951,7.3,2002-04-01
32239,964,7.5,2002-03-01
32239,973,7.7,2002-02-01
32239,1120,8.9,2002-01-01
32239,921,7.4,2001-12-01
32239,946,7.6,2001-11-01
32239,910,7.2,2001-10-01
32239,810,6.4,2001-09-01
32239,790,6.2,2001-08-01
32239,731,5.7,2001-07-01
32239,694,5.4,2001-06-01
32239,652,5.3,2001-05-01
32239,655,5.3,2001-04-01
32239,652,5.3,2001-03-01
32239,724,5.9,2001-02-01
32239,734,5.8,2001-01-01
32239,564,4.5,2000-12-01
32239,547,4.4,2000-11-01
32239,504,4.1,2000-10-01
32239,559,4.6,2000-09-01
32239,584,4.8,2000-08-01
32239,636,5.1,2000-07-01
32239,545,4.4,2000-06-01
32239,561,4.7,2000-05-01
32239,517,4.5,2000-04-01
32239,623,5.4,2000-03-01
32239,587,5.2,2000-02-01
32239,655,5.7,2000-01-01
32238,708,7.5,2010-02-01
32238,623,6.6,2010-01-01
32238,665,7.2,2009-12-01
32238,619,6.7,2009-11-01
32238,646,7,2009-10-01
32238,657,7.1,2009-09-01
32238,566,6,2009-08-01
32238,570,6.1,2009-07-01
32238,513,5.5,2009-06-01
32238,536,5.7,2009-05-01
32238,561,6,2009-04-01
32238,639,6.8,2009-03-01
32238,637,6.7,2009-02-01
32238,571,6,2009-01-01
32238,540,5.6,2008-12-01
32238,494,5.2,2008-11-01
32238,434,4.5,2008-10-01
32238,380,4,2008-09-01
32238,409,4.2,2008-08-01
32238,350,3.6,2008-07-01
32238,337,3.4,2008-06-01
32238,361,3.7,2008-05-01
32238,324,3.4,2008-04-01
32238,323,3.4,2008-03-01
32238,323,3.4,2008-02-01
32238,285,3,2008-01-01
32238,315,3.2,2007-12-01
32238,261,2.7,2007-11-01
32238,307,3.2,2007-10-01
32238,316,3.3,2007-09-01
32238,371,3.7,2007-08-01
32238,307,3.1,2007-07-01
32238,303,3.1,2007-06-01
32238,281,2.9,2007-05-01
32238,231,2.4,2007-04-01
32238,252,2.6,2007-03-01
32238,295,3.1,2007-02-01
32238,233,2.4,2007-01-01
32238,227,2.3,2006-12-01
32238,229,2.3,2006-11-01
32238,211,2.1,2006-10-01
32238,235,2.4,2006-09-01
32238,263,2.7,2006-08-01
32238,329,3.4,2006-07-01
32238,299,3.1,2006-06-01
32238,289,3,2006-05-01
32238,293,3.1,2006-04-01
32238,298,3.1,2006-03-01
32238,268,2.8,2006-02-01
32238,233,2.4,2006-01-01
32238,204,2.1,2005-12-01
32238,268,2.8,2005-11-01
32238,255,2.7,2005-10-01
32238,260,2.7,2005-09-01
32238,300,3.2,2005-08-01
32238,309,3.3,2005-07-01
32238,307,3.3,2005-06-01
32238,288,3.1,2005-05-01
32238,255,2.7,2005-04-01
32238,261,2.7,2005-03-01
32238,301,3.2,2005-02-01
32238,252,2.7,2005-01-01
32238,290,3.1,2004-12-01
32238,290,3.1,2004-11-01
32238,358,3.8,2004-10-01
32238,374,4,2004-09-01
32238,312,3.4,2004-08-01
32238,307,3.3,2004-07-01
32238,335,3.6,2004-06-01
32238,302,3.3,2004-05-01
32238,312,3.4,2004-04-01
32238,343,3.7,2004-03-01
32238,363,3.8,2004-02-01
32238,403,4.3,2004-01-01
32238,283,3,2003-12-01
32238,311,3.3,2003-11-01
32238,303,3.3,2003-10-01
32238,305,3.3,2003-09-01
32238,342,3.7,2003-08-01
32238,284,3.1,2003-07-01
32238,358,4,2003-06-01
32238,320,3.6,2003-05-01
32238,323,3.6,2003-04-01
32238,357,4,2003-03-01
32238,310,3.4,2003-02-01
32238,327,3.6,2003-01-01
32238,322,3.6,2002-12-01
32238,337,3.7,2002-11-01
32238,312,3.5,2002-10-01
32238,299,3.3,2002-09-01
32238,343,3.8,2002-08-01
32238,345,3.8,2002-07-01
32238,373,4.1,2002-06-01
32238,340,3.8,2002-05-01
32238,292,3.3,2002-04-01
32238,287,3.2,2002-03-01
32238,318,3.5,2002-02-01
32238,267,3,2002-01-01
32238,258,3,2001-12-01
32238,320,3.6,2001-11-01
32238,281,3.3,2001-10-01
32238,268,3.1,2001-09-01
32238,256,2.9,2001-08-01
32238,289,3.3,2001-07-01
32238,249,2.8,2001-06-01
32238,191,2.2,2001-05-01
32238,232,2.6,2001-04-01
32238,211,2.4,2001-03-01
32238,235,2.6,2001-02-01
32238,232,2.6,2001-01-01
32238,200,2.3,2000-12-01
32238,184,2.1,2000-11-01
32238,224,2.6,2000-10-01
32238,187,2.2,2000-09-01
32238,213,2.5,2000-08-01
32238,190,2.2,2000-07-01
32238,216,2.5,2000-06-01
32238,195,2.2,2000-05-01
32238,197,2.3,2000-04-01
32238,226,2.6,2000-03-01
32238,240,2.8,2000-02-01
32238,228,2.7,2000-01-01
32237,300,10,2010-02-01
32237,313,10,2010-01-01
32237,256,8.5,2009-12-01
32237,243,7.6,2009-11-01
32237,261,8.2,2009-10-01
32237,362,11.2,2009-09-01
32237,358,10.7,2009-08-01
32237,373,11.5,2009-07-01
32237,347,11.1,2009-06-01
32237,303,9.5,2009-05-01
32237,320,10.1,2009-04-01
32237,252,7.8,2009-03-01
32237,224,7.1,2009-02-01
32237,232,7.4,2009-01-01
32237,219,6.9,2008-12-01
32237,173,5.2,2008-11-01
32237,168,5,2008-10-01
32237,166,5,2008-09-01
32237,144,4.2,2008-08-01
32237,141,4.1,2008-07-01
32237,157,4.7,2008-06-01
32237,170,5,2008-05-01
32237,143,4.4,2008-04-01
32237,155,4.8,2008-03-01
32237,193,5.8,2008-02-01
